price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age.at.sale,sqft_living15,sqft_lot15,renovated_yes
856000.0,3,1.5,1480,2700,1.5,0,0,3,7,1480,0,87,1970,4200,0
799000.0,4,2.5,3400,6742,2.0,0,0,3,9,3400,0,11,2970,6909,0
507250.0,3,2.5,2270,5536,2.0,0,0,3,8,2270,0,12,2270,5731,0
675000.0,3,2.5,2250,4134,2.0,0,0,3,9,2250,0,11,2390,4134,0
485000.0,3,1.5,1870,7853,1.0,0,0,3,7,1300,570,53,1870,8300,0
265000.0,2,1.0,820,8423,1.0,0,2,3,6,820,0,58,1960,9140,0
425000.0,3,2.25,1790,10209,1.0,0,0,3,7,1290,500,48,1840,9900,0
430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,8,1940,193842,0
635500.0,3,2.0,1660,3600,1.0,0,0,3,7,1000,660,76,1700,4356,1
780000.0,3,2.25,2130,11782,1.0,0,0,4,8,1590,540,38,2700,11782,0
525000.0,5,3.25,2480,10277,2.0,0,0,5,8,1640,840,22,2270,10277,0
760000.0,4,3.25,2690,3995,2.0,0,0,3,9,2060,630,1,1810,4590,0
370000.0,3,1.5,1360,1167,3.0,0,0,3,8,1360,0,7,1360,1167,0
540000.0,4,2.75,2830,7334,2.0,0,0,3,8,2830,0,10,2830,7378,0
450000.0,3,2.0,2290,16258,1.0,0,0,5,8,2290,0,55,1660,10530,0
862500.0,4,2.5,3220,4400,2.0,0,2,3,9,2180,1040,78,3000,5000,0
320000.0,4,2.25,2000,10374,2.0,0,1,4,7,2000,0,48,2170,10374,0
282000.0,4,1.75,1660,10725,1.0,0,0,3,7,960,700,59,1340,9023,0
725000.0,3,1.75,1920,3300,1.0,0,0,4,8,960,960,102,1740,4000,0
320000.0,2,1.0,950,5316,1.0,0,2,3,7,950,0,67,1620,6085,0
760000.0,3,2.5,2280,12746,1.0,0,0,4,8,1490,790,42,2100,12746,0
725000.0,6,3.0,2480,12000,2.0,0,0,3,8,2480,0,43,2220,8580,0
895000.0,4,3.0,3570,10273,1.5,0,3,3,9,2630,940,80,3640,15324,1
500000.0,3,1.0,1440,54315,1.0,0,0,3,7,790,650,41,2690,40518,0
650000.0,3,2.0,1340,2720,1.5,0,0,3,7,1340,0,102,2030,4590,0
1090000.0,3,3.0,2830,6041,2.0,0,3,3,8,1840,990,100,3420,6360,0
675000.0,4,2.25,2260,8715,1.0,0,0,4,8,1530,730,39,2220,8650,0
422500.0,3,1.0,1270,8920,1.0,0,0,5,7,1270,0,46,1590,8589,0
387000.0,3,1.5,1340,6500,1.0,0,0,3,7,1340,0,43,1620,7107,0
1950000.0,4,3.25,7420,167869,2.0,0,3,3,12,7420,0,13,5610,169549,0
2200000.0,4,3.0,3540,11098,2.0,0,0,3,10,3000,540,75,3430,8214,0
598000.0,4,2.5,3130,40918,2.0,0,0,3,9,3130,0,21,2760,35440,0
269900.0,4,1.75,1530,8750,1.5,0,0,4,7,1530,0,47,1390,8750,0
411000.0,4,2.75,2150,9915,1.0,0,0,5,8,1240,910,39,1980,9325,0
187000.0,2,1.0,860,5400,1.0,0,0,4,5,860,0,62,960,5400,0
294000.0,2,2.5,1380,889,2.0,0,0,3,7,1140,240,3,1580,1397,0
615000.0,4,1.0,1340,2006,1.5,0,0,3,7,1340,0,84,2040,3625,0
375000.0,6,2.0,1900,8057,1.0,0,0,4,7,1170,730,56,2090,8626,0
815000.0,5,3.5,3500,10794,2.0,0,0,3,10,3500,0,19,3110,10837,0
235000.0,2,1.0,670,5600,1.0,0,0,3,6,670,0,112,1960,7176,0
204000.0,2,2.5,1090,13444,2.0,0,0,3,7,1090,0,8,1380,6000,0
1690000.0,3,3.25,5290,224442,2.0,0,0,4,11,4540,750,27,3750,84936,0
481500.0,3,1.75,2140,6000,1.0,0,0,3,7,1070,1070,67,1240,4650,0
495000.0,2,2.0,1540,7110,1.0,0,0,3,7,960,580,66,1860,7065,0
219900.0,3,1.0,910,6000,1.0,0,0,2,6,910,0,59,1090,6957,0
445000.0,3,1.75,1890,32340,1.5,0,3,3,8,1890,0,39,1890,40180,0
357500.0,3,1.0,1450,8100,1.0,0,0,3,6,1450,0,63,1450,7800,0
620000.0,4,1.75,2350,18800,1.0,0,2,3,8,2350,0,56,3050,14640,0
1280000.0,5,4.25,5040,9466,2.0,0,0,3,11,5040,0,11,4300,9417,0
379950.0,3,1.0,1270,6900,1.0,0,0,3,7,1270,0,38,1480,7280,0
659950.0,4,2.75,3550,9400,2.0,0,0,3,9,3550,0,1,3550,9421,0
580000.0,3,2.5,1740,1236,3.0,0,2,3,8,1740,0,7,1740,1280,0
245000.0,2,1.5,690,1058,2.0,0,0,3,7,690,0,10,690,1058,0
395000.0,3,2.5,2310,4930,2.0,0,0,4,8,2310,0,26,2230,5324,0
3600000.0,3,3.25,5020,12431,2.0,1,4,3,10,3420,1600,74,3680,12620,1
235000.0,2,1.0,1210,9400,1.0,0,0,2,6,1210,0,66,1580,6026,0
499950.0,5,3.5,3200,43560,2.0,0,0,3,7,3200,0,26,2730,43560,0
450000.0,3,2.0,1680,4886,2.0,0,0,3,7,1180,500,75,1400,4900,0
710000.0,3,3.5,2440,3427,2.0,0,0,3,7,1990,450,15,2440,2601,0
1700000.0,4,3.5,4330,15335,2.0,0,0,4,11,3230,1100,27,3840,14311,0
775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,31,2410,30617,0
750000.0,4,2.75,2640,3750,2.0,0,0,5,7,1840,800,104,1690,5000,0
295500.0,3,1.75,1590,41550,1.5,0,0,3,6,1290,300,82,2990,6464,0
399000.0,3,2.5,1800,3300,2.0,0,0,3,7,1690,110,11,1570,3902,0
567500.0,3,2.5,2280,2502,2.0,0,0,3,8,1880,400,9,2280,2812,0
510000.0,4,1.5,1320,14250,1.0,0,0,4,7,1320,0,61,1720,14250,0
513000.0,4,2.75,2020,7070,1.0,0,0,5,7,1010,1010,57,1390,6000,0
329950.0,2,1.0,900,5220,1.0,0,0,4,6,900,0,59,1480,6660,0
768000.0,5,2.75,3030,13640,2.0,0,0,4,8,3030,0,35,2500,13225,0
320000.0,3,1.75,2220,11646,1.0,0,0,3,7,1270,950,65,1490,10003,0
245700.0,3,2.25,1640,8400,1.0,0,0,3,8,1180,460,47,1600,8120,0
244615.0,3,2.5,2060,4030,2.0,0,0,3,7,2060,0,16,2060,4029,0
363000.0,4,2.5,2180,9281,2.0,0,0,3,8,2180,0,11,2520,9520,0
402500.0,2,1.0,800,2280,1.0,0,0,5,6,800,0,69,1310,4200,0
792000.0,3,2.5,3320,12840,1.0,0,0,3,10,2600,720,25,3230,14933,0
589000.0,4,2.25,2390,57599,2.0,0,0,3,8,2390,0,34,2390,38186,0
599999.0,9,4.5,3830,6988,2.5,0,0,3,7,2450,1380,77,1460,6291,0
805000.0,5,4.5,4600,7810,2.0,0,0,3,9,3200,1400,9,4480,6324,0
345000.0,3,2.75,2190,7258,2.0,0,0,3,8,2190,0,15,2190,8645,0
374000.0,3,1.0,1200,9800,1.0,0,0,4,7,1200,0,44,1220,10220,0
550000.0,5,2.75,3000,9473,1.0,0,0,3,8,1500,1500,49,2050,8820,0
1320000.0,4,3.5,3460,3997,2.0,0,0,3,10,2560,900,11,1860,4000,0
575000.0,4,2.75,1960,4635,1.0,0,0,4,7,1000,960,47,1830,6180,0
296000.0,3,2.5,1560,5845,2.0,0,0,3,7,1560,0,12,1860,5752,0
591500.0,4,2.5,1690,4080,1.5,0,0,4,7,1140,550,103,1600,4590,0
585000.0,3,1.0,1450,5378,1.0,0,0,3,7,1190,260,76,1810,5559,0
565000.0,4,2.25,2470,7447,2.0,0,0,3,8,2470,0,31,2270,7400,0
212700.0,2,1.0,940,5040,1.0,0,0,3,7,940,0,89,940,5040,0
472000.0,3,2.5,1180,1262,3.0,0,0,3,8,1180,0,5,1180,2632,0
402300.0,3,1.75,1480,4050,1.0,0,0,3,7,870,610,89,1350,4500,0
1020000.0,3,2.5,2920,34527,1.0,0,4,4,9,1800,1120,61,2480,7933,0
541900.0,3,2.5,1880,3054,2.0,0,0,3,8,1880,0,27,1840,3815,0
303000.0,4,2.5,2100,6783,2.0,0,0,3,8,2100,0,12,2100,6192,0
915000.0,6,3.75,2930,14980,2.0,0,3,3,9,2930,0,2,3210,10787,0
712500.0,3,1.5,1660,8797,1.0,0,0,4,7,1660,0,59,2350,10053,0
790000.0,4,3.5,2720,3000,2.0,0,0,3,9,2250,470,1,1600,4600,0
539900.0,3,2.5,2500,4203,2.0,0,0,3,8,2500,0,14,2460,4798,0
469950.0,5,2.5,2310,8303,1.0,0,0,3,7,1300,1010,40,1930,8303,0
679950.0,5,2.75,3600,9437,2.0,0,0,3,9,3600,0,1,3550,9421,0
710000.0,2,1.5,1640,4080,1.5,0,0,5,7,1540,100,99,1880,4080,0
1000000.0,3,1.0,1880,5450,1.5,0,0,4,8,1880,0,91,2580,5450,0
409000.0,3,2.5,2740,9168,2.0,0,0,3,9,2740,0,24,2690,10554,0
174900.0,3,1.0,1100,6000,1.5,0,0,2,6,1100,0,89,960,5880,0
685000.0,4,1.0,1550,15239,1.5,1,4,3,6,1370,180,85,1790,22047,0
275000.0,3,3.0,1390,1080,2.0,0,0,3,7,1140,250,9,1450,1081,0
197400.0,3,2.0,1610,7575,1.0,0,0,4,7,1110,500,50,1920,8400,0
270000.0,3,2.5,1770,8640,1.0,0,0,3,7,1420,350,29,1894,7974,0
417000.0,4,2.0,2090,4000,1.0,0,0,3,6,1060,1030,108,1590,4000,0
489950.0,4,2.25,2640,31941,1.0,0,0,4,9,2640,0,29,2780,35365,0
607500.0,3,3.25,1530,1612,3.0,0,0,3,8,1530,0,9,1530,1611,0
750500.0,4,2.5,2860,9159,1.0,0,0,4,8,1530,1330,26,2070,8680,0
399000.0,3,2.5,1430,1250,3.0,0,0,3,7,1430,0,8,1360,1269,0
312500.0,2,1.0,870,7227,1.0,0,0,3,7,870,0,67,1250,7252,0
695000.0,3,2.5,4560,17622,2.0,0,0,4,9,3800,760,29,2360,15000,0
267000.0,3,1.5,1090,8160,1.0,0,0,3,7,1090,0,48,1260,7560,1
439990.0,3,2.5,1930,1348,2.0,0,0,3,8,1300,630,10,1630,6000,0
235000.0,2,1.0,930,10505,1.0,0,0,3,6,930,0,85,1520,8881,0
435000.0,3,1.0,950,10080,1.0,0,0,4,7,950,0,61,1060,10000,0
400000.0,3,1.0,1630,10304,1.0,0,0,5,7,1630,0,62,1480,8515,0
408000.0,3,1.75,1600,313672,1.0,0,0,4,7,1600,0,55,1780,90860,0
285000.0,3,1.75,1720,13104,1.0,0,0,4,7,1720,0,53,1840,13104,0
300000.0,3,1.75,1700,8481,2.0,0,0,3,7,1700,0,22,1830,6600,0
385195.0,1,1.0,710,6000,1.5,0,0,3,6,710,0,0,1440,4800,0
527000.0,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,28,1910,10055,0
219950.0,2,1.0,990,6448,1.0,0,0,3,7,990,0,67,1130,7200,0
835000.0,3,1.0,3060,30166,1.0,0,0,5,8,3060,0,56,1880,19602,0
405000.0,3,2.5,2160,10200,1.0,0,0,3,7,1360,800,37,2010,7850,0
304500.0,4,2.5,2030,5202,2.0,0,0,3,8,2030,0,14,2260,5232,0
292000.0,3,2.25,1780,9720,1.0,0,0,3,8,1280,500,34,1710,9790,0
234000.0,2,1.0,870,11100,1.0,0,0,3,6,870,0,75,1370,10404,0
550000.0,4,3.0,2760,13113,1.0,0,0,4,8,1760,1000,41,1900,13113,0
789800.0,3,2.5,2605,2216,2.0,0,2,3,9,2090,515,36,2605,2300,0
290000.0,1,1.0,550,5700,1.0,0,0,2,6,550,0,99,1100,4560,0
260000.0,4,2.75,2250,7345,1.0,0,0,4,8,1320,930,31,1800,6950,0
365000.0,3,1.75,1830,17349,1.0,0,0,3,8,1230,600,38,1840,11694,0
398000.0,3,2.5,1720,1715,2.0,0,0,3,7,1240,480,11,1610,1626,0
713000.0,5,2.75,2580,9242,2.0,0,2,4,8,1720,860,48,2240,9316,0
1120000.0,5,2.75,4400,18500,1.0,0,3,5,9,2250,2150,52,3290,19257,0
190000.0,2,1.5,1400,9031,1.0,0,0,3,7,960,440,33,1450,7658,0
542300.0,3,2.25,1580,1487,3.0,0,0,3,9,1580,0,2,1600,1525,0
352500.0,3,1.5,1360,7680,1.0,0,0,3,7,1360,0,60,1630,7679,0
395000.0,3,3.5,1450,1263,2.0,0,0,3,8,1160,290,8,1390,1282,0
650000.0,10,2.0,3610,11914,2.0,0,0,4,7,3010,600,57,2040,11914,0
300000.0,3,2.5,1320,2614,2.0,0,0,3,7,1320,0,10,1320,2533,0
276000.0,3,2.5,2495,4400,2.0,0,0,3,8,2495,0,8,2434,4400,0
309500.0,3,1.5,1340,13560,1.0,0,0,3,7,1340,0,47,1540,15000,0
160000.0,3,1.75,1370,8006,2.0,0,0,3,7,1370,0,25,1530,8006,0
290000.0,2,2.0,1590,9375,1.0,0,0,3,7,910,680,32,1560,8524,0
283200.0,4,1.75,1830,12540,1.0,0,0,4,8,1130,700,57,2020,12540,0
700000.0,3,1.75,1350,4000,1.5,0,0,4,7,1350,0,90,1880,4000,0
367899.0,3,2.5,2420,4725,2.0,0,0,3,8,2420,0,1,2370,4200,0
269900.0,5,1.75,1750,8325,1.0,0,0,5,7,1750,0,49,1430,8325,0
416000.0,3,2.5,1710,1296,3.0,0,0,3,8,1510,200,11,1610,1282,0
1210000.0,4,3.75,3250,10949,2.0,0,0,4,9,2940,310,85,2340,15234,0
322000.0,3,1.0,1230,9660,1.0,0,0,3,7,1230,0,47,1380,10125,0
455000.0,3,1.75,1700,8360,1.0,0,0,4,7,850,850,60,1520,8360,0
1760000.0,3,2.0,2360,4800,2.0,0,0,3,9,2360,0,106,2260,4800,1
375000.0,3,1.75,1590,14766,1.0,0,0,3,8,1590,0,52,2040,10190,0
350000.0,5,3.0,2320,8400,1.0,0,0,3,7,1510,810,52,1200,4800,0
670000.0,3,1.5,1220,4080,1.5,0,0,5,7,1220,0,101,1320,4080,0
410000.0,3,2.5,1740,4948,2.0,0,0,3,7,1740,0,7,1290,3383,0
485000.0,4,2.25,1900,7200,1.0,0,0,3,8,1370,530,38,2030,8008,0
530000.0,5,2.25,2140,7910,1.0,0,0,3,7,1070,1070,53,1680,8700,0
767450.0,3,2.0,1630,7599,1.0,0,0,3,10,1630,0,9,2030,7599,0
540000.0,3,2.25,1670,3135,2.0,0,0,3,8,1220,450,13,1630,1596,0
787500.0,4,1.75,1580,9382,1.0,0,0,3,7,1080,500,52,2010,9382,0
688000.0,3,1.5,1760,4880,1.5,0,3,3,8,1290,470,87,1840,4998,0
208800.0,3,2.5,1390,2450,2.0,0,0,3,7,1390,0,6,1390,2450,0
239000.0,3,1.0,940,8571,1.0,0,0,3,6,940,0,65,1100,8573,0
905000.0,4,2.75,2730,4268,2.0,0,1,3,9,2730,0,6,2340,5000,0
283450.0,5,2.75,2770,6116,1.0,0,0,3,7,1490,1280,36,1920,6486,0
590000.0,4,2.75,2910,10650,1.0,0,2,3,8,1780,1130,40,2920,10988,0
518000.0,4,2.5,2790,9910,2.0,0,0,3,8,2790,0,12,2590,9910,0
725000.0,5,2.75,2830,5310,2.0,0,0,3,9,2830,0,9,3150,6581,0
275000.0,3,1.0,1320,11090,1.0,0,0,3,7,1320,0,60,1320,8319,0
505000.0,4,2.5,3170,5340,2.0,0,0,3,7,3170,0,15,3010,5340,0
389999.0,3,2.25,1445,1471,2.0,0,0,3,7,1300,145,12,1410,1399,0
320000.0,3,1.75,1510,30185,1.5,0,0,3,7,1510,0,39,1470,12465,0
490000.0,5,3.5,4460,2975,3.0,0,2,3,10,3280,1180,0,2490,4231,0
810000.0,3,2.0,2870,6360,1.5,0,1,4,8,1790,1080,69,2310,6466,0
280000.0,1,0.75,420,6720,1.0,0,0,3,5,420,0,93,1420,6720,0
235000.0,4,2.0,1570,9415,2.0,0,0,4,7,1570,0,31,1550,8978,0
631000.0,3,2.25,1670,1396,2.0,0,0,3,9,1250,420,0,1610,5191,0
550000.0,3,2.5,1840,3035,1.0,0,0,3,7,920,920,89,1780,4000,0
641000.0,5,2.75,3710,8674,2.0,0,0,3,9,3710,0,19,3250,8678,0
575000.0,3,1.75,1530,6743,1.0,0,0,3,7,1410,120,60,2040,6000,0
419600.0,3,1.75,1680,8460,1.0,0,0,3,7,1180,500,39,1890,9529,0
235000.0,5,1.0,1500,9282,1.5,0,0,5,6,1500,0,49,1520,9639,0
480000.0,3,1.0,1160,8800,1.0,0,0,4,7,1160,0,56,1750,8400,0
937500.0,4,2.5,3130,21100,1.0,0,4,3,9,2530,600,59,3680,23000,0
835000.0,2,3.25,3570,392475,1.0,0,0,3,9,2370,1200,17,3190,217800,0
250000.0,3,1.5,2840,10182,1.0,0,0,3,8,1510,1330,64,2210,9669,0
479000.0,3,2.5,1260,889,3.0,0,0,3,8,1260,0,7,1340,1324,0
315000.0,2,1.0,970,5665,1.0,0,0,4,6,970,0,107,1490,4429,0
842500.0,5,4.0,2980,4500,1.5,0,0,3,7,2070,910,94,1560,4225,0
545000.0,4,2.25,2030,11585,1.0,0,0,4,7,1590,440,48,1960,8977,0
430000.0,2,2.25,1040,1516,2.0,0,0,3,8,1040,0,7,1560,1920,0
920000.0,4,2.5,3550,10233,2.0,0,0,3,9,3550,0,19,3310,9157,0
496752.0,2,1.0,1980,5000,1.0,0,0,4,7,1090,890,92,1720,5000,0
550000.0,3,2.5,2080,7749,2.0,0,0,3,8,2080,0,27,2210,7471,0
530000.0,3,1.0,1340,4284,1.0,0,0,3,7,1080,260,105,1960,4080,0
620000.0,5,2.5,3070,34991,2.0,0,0,3,9,3070,0,20,2150,19515,0
700000.0,4,3.5,4490,5099,2.0,0,0,3,9,3390,1100,9,4290,5537,0
850000.0,5,2.75,3430,15119,2.0,0,0,3,10,3430,0,17,3430,12045,0
600000.0,4,2.75,3110,11225,2.0,0,0,3,8,3110,0,3,2610,8535,0
539000.0,2,1.75,1900,5175,1.0,0,0,3,7,1200,700,96,1370,5175,0
219950.0,3,1.5,1070,6601,1.0,0,0,3,6,1070,0,30,1030,6614,0
646000.0,3,2.75,2460,6413,2.0,0,0,3,9,2460,0,11,2440,6092,0
462500.0,6,3.0,2390,4000,2.0,0,0,3,7,2390,0,1,1680,5000,0
335000.0,4,2.0,2030,103672,1.0,0,0,4,7,2030,0,46,1560,325393,0
446000.0,4,2.5,1530,8375,1.0,0,0,3,7,1020,510,41,1650,9794,0
342000.0,4,1.0,1390,9023,1.5,0,0,3,7,1390,0,60,1760,9023,0
570000.0,3,2.5,2420,11953,1.0,0,0,3,9,2420,0,25,2420,12215,0
352500.0,3,1.5,1470,17577,1.0,0,0,5,7,1470,0,48,2300,13832,0
849900.0,2,2.0,2280,641203,2.0,0,0,3,9,2280,0,25,2030,224334,0
510000.0,4,4.0,3530,10935,2.0,0,0,3,10,3530,0,23,3360,11250,0
408474.0,3,2.5,1800,2731,2.0,0,0,3,8,1800,0,1,1800,3265,0
535000.0,3,2.5,1690,9626,2.0,0,0,3,8,1690,0,31,1860,8958,0
247500.0,2,1.0,700,6046,1.0,0,0,3,6,700,0,65,990,6790,0
1030000.0,5,4.0,3760,28040,2.0,0,0,3,10,3760,0,32,3430,35096,0
630000.0,4,2.5,2540,8706,2.0,0,0,3,9,2540,0,18,2540,6239,0
479900.0,3,2.0,1980,12150,1.0,0,0,3,9,1980,0,21,2200,12150,0
405000.0,4,2.75,2360,7716,1.0,0,0,3,7,1390,970,37,2160,8794,0
136500.0,3,1.5,1420,8580,1.0,0,0,3,6,1420,0,53,1200,8580,0
1700000.0,4,4.5,3860,15246,2.0,0,4,3,11,2940,920,11,3750,14790,0
507950.0,4,2.5,2630,6283,2.0,0,0,3,9,2630,0,9,2630,7210,0
935000.0,4,3.5,3510,11200,2.0,0,0,3,11,3510,0,14,3600,12124,0
515000.0,2,1.0,1640,5200,1.0,0,0,4,7,1040,600,78,1780,5040,0
339950.0,4,2.25,2670,9040,1.0,0,0,3,8,2170,500,60,1880,2648,0
490000.0,4,2.5,3020,8302,2.0,0,0,4,10,3020,0,21,3020,8406,0
450000.0,3,1.75,1830,5488,1.0,0,2,4,7,1010,820,76,1200,5488,0
897500.0,4,3.0,4370,217882,2.0,0,0,3,10,4370,0,31,2430,35096,0
212000.0,3,1.5,1060,9225,1.0,0,0,4,7,1060,0,60,1270,9375,0
315000.0,4,2.75,2200,8580,1.0,0,0,3,8,1860,340,24,2290,7816,0
475000.0,5,2.5,2010,3600,1.5,0,0,3,6,1510,500,103,1780,3600,0
550000.0,3,2.5,2430,5400,2.0,0,0,3,8,2430,0,8,2640,11990,0
828000.0,4,2.5,3520,9901,2.0,0,0,3,10,3520,0,17,3490,9667,0
546500.0,3,2.5,1410,2675,1.0,0,0,3,7,820,590,30,1410,4013,0
197000.0,4,1.0,1360,11175,1.0,0,0,3,7,1360,0,54,1340,9702,0
475000.0,3,2.25,1380,1621,2.0,0,0,3,8,1140,240,8,1460,1403,0
445000.0,4,2.0,2630,9099,1.5,0,0,3,7,1830,800,71,1430,6825,1
216500.0,3,1.0,1020,11652,1.0,0,0,4,6,1020,0,44,1690,11652,0
952500.0,4,1.5,2550,5055,2.0,0,0,4,10,2550,0,105,1970,4431,0
648360.0,4,1.75,2260,7005,1.0,0,1,4,7,1130,1130,68,2330,9180,0
1650000.0,4,3.25,4200,210394,2.0,0,0,4,10,4200,0,22,2370,184694,0
623000.0,4,2.75,2300,12633,2.0,0,0,3,9,2300,0,31,2240,9246,0
440250.0,3,1.5,1850,8124,1.0,0,0,4,7,1850,0,67,1530,8123,0
860000.0,4,2.5,3560,11119,1.0,0,2,3,10,2290,1270,29,3290,11385,0
615000.0,5,2.25,2480,12070,2.0,0,0,3,9,2480,0,37,2570,12000,0
490000.0,4,2.25,2800,10800,1.0,0,0,3,8,1680,1120,38,2260,9800,0
575000.0,4,1.75,2020,6200,1.0,0,0,4,6,1010,1010,67,1440,4158,0
515000.0,3,2.5,2130,219978,2.0,0,0,3,8,2130,0,29,3340,217800,0
580000.0,7,2.75,2310,2400,1.5,0,0,3,6,2310,0,100,1340,3825,0
317000.0,3,1.5,1060,5750,1.0,0,0,2,7,1060,0,34,1060,5750,0
389000.0,2,2.0,1200,7131,1.0,0,0,3,8,1200,0,9,1670,4601,0
603500.0,4,2.5,4060,9734,1.0,0,4,3,9,2150,1910,38,2750,10370,0
234950.0,2,2.5,1720,3132,2.0,0,0,3,8,1720,0,16,1740,4220,0
825000.0,3,2.25,2980,86636,1.0,0,0,3,9,2230,750,26,2980,107157,0
220000.0,2,1.0,890,4804,1.0,0,0,4,7,890,0,87,1010,3844,0
126000.0,1,1.0,610,4400,1.0,0,0,3,5,610,0,93,1090,4930,0
479000.0,2,2.5,1741,1439,2.0,0,0,3,8,1446,295,8,2090,10454,0
499950.0,3,2.5,1520,2208,2.0,0,0,3,8,1040,480,8,1610,1618,0
492650.0,4,1.75,2120,9786,1.0,0,0,3,8,1640,480,48,2310,8787,0
340000.0,2,1.75,1270,1916,2.0,0,0,3,8,1270,0,3,1140,1916,0
1030000.0,4,3.5,4370,10860,2.0,0,0,3,11,4370,0,7,3560,8070,0
467000.0,5,2.25,2500,13500,1.0,0,0,3,7,1850,650,36,2300,9750,0
543000.0,3,2.25,1240,949,3.0,0,0,3,8,1240,0,7,1310,1140,0
456000.0,3,2.0,1870,8442,1.5,0,0,5,7,1060,810,88,1640,6174,0
