price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age.at.sale,renovated,sqft_living15,sqft_lot15
235000,2,1,670,5600,1,0,0,3,6,670,0,112,no,1960,7176
204000,2,2.5,1090,13444,2,0,0,3,7,1090,0,8,no,1380,6000
1690000,3,3.25,5290,224442,2,0,0,4,11,4540,750,27,no,3750,84936
481500,3,1.75,2140,6000,1,0,0,3,7,1070,1070,67,no,1240,4650
495000,2,2,1540,7110,1,0,0,3,7,960,580,66,no,1860,7065
219900,3,1,910,6000,1,0,0,2,6,910,0,59,no,1090,6957
445000,3,1.75,1890,32340,1.5,0,3,3,8,1890,0,39,no,1890,40180
357500,3,1,1450,8100,1,0,0,3,6,1450,0,63,no,1450,7800
620000,4,1.75,2350,18800,1,0,2,3,8,2350,0,56,no,3050,14640
1280000,5,4.25,5040,9466,2,0,0,3,11,5040,0,11,no,4300,9417
379950,3,1,1270,6900,1,0,0,3,7,1270,0,38,no,1480,7280
659950,4,2.75,3550,9400,2,0,0,3,9,3550,0,1,no,3550,9421
580000,3,2.5,1740,1236,3,0,2,3,8,1740,0,7,no,1740,1280
245000,2,1.5,690,1058,2,0,0,3,7,690,0,10,no,690,1058
395000,3,2.5,2310,4930,2,0,0,4,8,2310,0,26,no,2230,5324
3600000,3,3.25,5020,12431,2,1,4,3,10,3420,1600,74,yes,3680,12620
235000,2,1,1210,9400,1,0,0,2,6,1210,0,66,no,1580,6026
499950,5,3.5,3200,43560,2,0,0,3,7,3200,0,26,no,2730,43560
450000,3,2,1680,4886,2,0,0,3,7,1180,500,75,no,1400,4900
710000,3,3.5,2440,3427,2,0,0,3,7,1990,450,15,no,2440,2601
1700000,4,3.5,4330,15335,2,0,0,4,11,3230,1100,27,no,3840,14311
775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,31,no,2410,30617
750000,4,2.75,2640,3750,2,0,0,5,7,1840,800,104,no,1690,5000
295500,3,1.75,1590,41550,1.5,0,0,3,6,1290,300,82,no,2990,6464
399000,3,2.5,1800,3300,2,0,0,3,7,1690,110,11,no,1570,3902
567500,3,2.5,2280,2502,2,0,0,3,8,1880,400,9,no,2280,2812
510000,4,1.5,1320,14250,1,0,0,4,7,1320,0,61,no,1720,14250
513000,4,2.75,2020,7070,1,0,0,5,7,1010,1010,57,no,1390,6000
329950,2,1,900,5220,1,0,0,4,6,900,0,59,no,1480,6660
768000,5,2.75,3030,13640,2,0,0,4,8,3030,0,35,no,2500,13225
320000,3,1.75,2220,11646,1,0,0,3,7,1270,950,65,no,1490,10003
245700,3,2.25,1640,8400,1,0,0,3,8,1180,460,47,no,1600,8120
244615,3,2.5,2060,4030,2,0,0,3,7,2060,0,16,no,2060,4029
363000,4,2.5,2180,9281,2,0,0,3,8,2180,0,11,no,2520,9520
402500,2,1,800,2280,1,0,0,5,6,800,0,69,no,1310,4200
792000,3,2.5,3320,12840,1,0,0,3,10,2600,720,25,no,3230,14933
589000,4,2.25,2390,57599,2,0,0,3,8,2390,0,34,no,2390,38186
599999,9,4.5,3830,6988,2.5,0,0,3,7,2450,1380,77,no,1460,6291
805000,5,4.5,4600,7810,2,0,0,3,9,3200,1400,9,no,4480,6324
345000,3,2.75,2190,7258,2,0,0,3,8,2190,0,15,no,2190,8645
374000,3,1,1200,9800,1,0,0,4,7,1200,0,44,no,1220,10220
550000,5,2.75,3000,9473,1,0,0,3,8,1500,1500,49,no,2050,8820
1320000,4,3.5,3460,3997,2,0,0,3,10,2560,900,11,no,1860,4000
575000,4,2.75,1960,4635,1,0,0,4,7,1000,960,47,no,1830,6180
296000,3,2.5,1560,5845,2,0,0,3,7,1560,0,12,no,1860,5752
591500,4,2.5,1690,4080,1.5,0,0,4,7,1140,550,103,no,1600,4590
585000,3,1,1450,5378,1,0,0,3,7,1190,260,76,no,1810,5559
565000,4,2.25,2470,7447,2,0,0,3,8,2470,0,31,no,2270,7400
212700,2,1,940,5040,1,0,0,3,7,940,0,89,no,940,5040
472000,3,2.5,1180,1262,3,0,0,3,8,1180,0,5,no,1180,2632
402300,3,1.75,1480,4050,1,0,0,3,7,870,610,89,no,1350,4500
1020000,3,2.5,2920,34527,1,0,4,4,9,1800,1120,61,no,2480,7933
541900,3,2.5,1880,3054,2,0,0,3,8,1880,0,27,no,1840,3815
303000,4,2.5,2100,6783,2,0,0,3,8,2100,0,12,no,2100,6192
915000,6,3.75,2930,14980,2,0,3,3,9,2930,0,2,no,3210,10787
712500,3,1.5,1660,8797,1,0,0,4,7,1660,0,59,no,2350,10053
790000,4,3.5,2720,3000,2,0,0,3,9,2250,470,1,no,1600,4600
539900,3,2.5,2500,4203,2,0,0,3,8,2500,0,14,no,2460,4798
469950,5,2.5,2310,8303,1,0,0,3,7,1300,1010,40,no,1930,8303
679950,5,2.75,3600,9437,2,0,0,3,9,3600,0,1,no,3550,9421
710000,2,1.5,1640,4080,1.5,0,0,5,7,1540,100,99,no,1880,4080
1.00E+06,3,1,1880,5450,1.5,0,0,4,8,1880,0,91,no,2580,5450
409000,3,2.5,2740,9168,2,0,0,3,9,2740,0,24,no,2690,10554
174900,3,1,1100,6000,1.5,0,0,2,6,1100,0,89,no,960,5880
685000,4,1,1550,15239,1.5,1,4,3,6,1370,180,85,no,1790,22047
275000,3,3,1390,1080,2,0,0,3,7,1140,250,9,no,1450,1081
197400,3,2,1610,7575,1,0,0,4,7,1110,500,50,no,1920,8400
270000,3,2.5,1770,8640,1,0,0,3,7,1420,350,29,no,1894,7974
417000,4,2,2090,4000,1,0,0,3,6,1060,1030,108,no,1590,4000
489950,4,2.25,2640,31941,1,0,0,4,9,2640,0,29,no,2780,35365
607500,3,3.25,1530,1612,3,0,0,3,8,1530,0,9,no,1530,1611
750500,4,2.5,2860,9159,1,0,0,4,8,1530,1330,26,no,2070,8680
399000,3,2.5,1430,1250,3,0,0,3,7,1430,0,8,no,1360,1269
312500,2,1,870,7227,1,0,0,3,7,870,0,67,no,1250,7252
695000,3,2.5,4560,17622,2,0,0,4,9,3800,760,29,no,2360,15000
267000,3,1.5,1090,8160,1,0,0,3,7,1090,0,48,yes,1260,7560
439990,3,2.5,1930,1348,2,0,0,3,8,1300,630,10,no,1630,6000
235000,2,1,930,10505,1,0,0,3,6,930,0,85,no,1520,8881
435000,3,1,950,10080,1,0,0,4,7,950,0,61,no,1060,10000
4.00E+05,3,1,1630,10304,1,0,0,5,7,1630,0,62,no,1480,8515
408000,3,1.75,1600,313672,1,0,0,4,7,1600,0,55,no,1780,90860
285000,3,1.75,1720,13104,1,0,0,4,7,1720,0,53,no,1840,13104
3.00E+05,3,1.75,1700,8481,2,0,0,3,7,1700,0,22,no,1830,6600
385195,1,1,710,6000,1.5,0,0,3,6,710,0,0,no,1440,4800
527000,4,2.25,2330,19436,2,0,0,3,8,2330,0,28,no,1910,10055
219950,2,1,990,6448,1,0,0,3,7,990,0,67,no,1130,7200
835000,3,1,3060,30166,1,0,0,5,8,3060,0,56,no,1880,19602
405000,3,2.5,2160,10200,1,0,0,3,7,1360,800,37,no,2010,7850
304500,4,2.5,2030,5202,2,0,0,3,8,2030,0,14,no,2260,5232
292000,3,2.25,1780,9720,1,0,0,3,8,1280,500,34,no,1710,9790
234000,2,1,870,11100,1,0,0,3,6,870,0,75,no,1370,10404
550000,4,3,2760,13113,1,0,0,4,8,1760,1000,41,no,1900,13113
789800,3,2.5,2605,2216,2,0,2,3,9,2090,515,36,no,2605,2300
290000,1,1,550,5700,1,0,0,2,6,550,0,99,no,1100,4560
260000,4,2.75,2250,7345,1,0,0,4,8,1320,930,31,no,1800,6950
365000,3,1.75,1830,17349,1,0,0,3,8,1230,600,38,no,1840,11694
398000,3,2.5,1720,1715,2,0,0,3,7,1240,480,11,no,1610,1626
713000,5,2.75,2580,9242,2,0,2,4,8,1720,860,48,no,2240,9316
1120000,5,2.75,4400,18500,1,0,3,5,9,2250,2150,52,no,3290,19257
190000,2,1.5,1400,9031,1,0,0,3,7,960,440,33,no,1450,7658
542300,3,2.25,1580,1487,3,0,0,3,9,1580,0,2,no,1600,1525
352500,3,1.5,1360,7680,1,0,0,3,7,1360,0,60,no,1630,7679
395000,3,3.5,1450,1263,2,0,0,3,8,1160,290,8,no,1390,1282
650000,10,2,3610,11914,2,0,0,4,7,3010,600,57,no,2040,11914
3.00E+05,3,2.5,1320,2614,2,0,0,3,7,1320,0,10,no,1320,2533
276000,3,2.5,2495,4400,2,0,0,3,8,2495,0,8,no,2434,4400
309500,3,1.5,1340,13560,1,0,0,3,7,1340,0,47,no,1540,15000
160000,3,1.75,1370,8006,2,0,0,3,7,1370,0,25,no,1530,8006
290000,2,2,1590,9375,1,0,0,3,7,910,680,32,no,1560,8524
283200,4,1.75,1830,12540,1,0,0,4,8,1130,700,57,no,2020,12540
7.00E+05,3,1.75,1350,4000,1.5,0,0,4,7,1350,0,90,no,1880,4000
367899,3,2.5,2420,4725,2,0,0,3,8,2420,0,1,no,2370,4200
269900,5,1.75,1750,8325,1,0,0,5,7,1750,0,49,no,1430,8325
416000,3,2.5,1710,1296,3,0,0,3,8,1510,200,11,no,1610,1282
1210000,4,3.75,3250,10949,2,0,0,4,9,2940,310,85,no,2340,15234
322000,3,1,1230,9660,1,0,0,3,7,1230,0,47,no,1380,10125
455000,3,1.75,1700,8360,1,0,0,4,7,850,850,60,no,1520,8360
1760000,3,2,2360,4800,2,0,0,3,9,2360,0,106,yes,2260,4800
375000,3,1.75,1590,14766,1,0,0,3,8,1590,0,52,no,2040,10190
350000,5,3,2320,8400,1,0,0,3,7,1510,810,52,no,1200,4800
670000,3,1.5,1220,4080,1.5,0,0,5,7,1220,0,101,no,1320,4080
410000,3,2.5,1740,4948,2,0,0,3,7,1740,0,7,no,1290,3383
485000,4,2.25,1900,7200,1,0,0,3,8,1370,530,38,no,2030,8008
530000,5,2.25,2140,7910,1,0,0,3,7,1070,1070,53,no,1680,8700
767450,3,2,1630,7599,1,0,0,3,10,1630,0,9,no,2030,7599
540000,3,2.25,1670,3135,2,0,0,3,8,1220,450,13,no,1630,1596
787500,4,1.75,1580,9382,1,0,0,3,7,1080,500,52,no,2010,9382
688000,3,1.5,1760,4880,1.5,0,3,3,8,1290,470,87,no,1840,4998
208800,3,2.5,1390,2450,2,0,0,3,7,1390,0,6,no,1390,2450
239000,3,1,940,8571,1,0,0,3,6,940,0,65,no,1100,8573
905000,4,2.75,2730,4268,2,0,1,3,9,2730,0,6,no,2340,5000
283450,5,2.75,2770,6116,1,0,0,3,7,1490,1280,36,no,1920,6486
590000,4,2.75,2910,10650,1,0,2,3,8,1780,1130,40,no,2920,10988
518000,4,2.5,2790,9910,2,0,0,3,8,2790,0,12,no,2590,9910
725000,5,2.75,2830,5310,2,0,0,3,9,2830,0,9,no,3150,6581
275000,3,1,1320,11090,1,0,0,3,7,1320,0,60,no,1320,8319
505000,4,2.5,3170,5340,2,0,0,3,7,3170,0,15,no,3010,5340
389999,3,2.25,1445,1471,2,0,0,3,7,1300,145,12,no,1410,1399
320000,3,1.75,1510,30185,1.5,0,0,3,7,1510,0,39,no,1470,12465
490000,5,3.5,4460,2975,3,0,2,3,10,3280,1180,0,no,2490,4231
810000,3,2,2870,6360,1.5,0,1,4,8,1790,1080,69,no,2310,6466
280000,1,0.75,420,6720,1,0,0,3,5,420,0,93,no,1420,6720
235000,4,2,1570,9415,2,0,0,4,7,1570,0,31,no,1550,8978
631000,3,2.25,1670,1396,2,0,0,3,9,1250,420,0,no,1610,5191
550000,3,2.5,1840,3035,1,0,0,3,7,920,920,89,no,1780,4000
641000,5,2.75,3710,8674,2,0,0,3,9,3710,0,19,no,3250,8678
575000,3,1.75,1530,6743,1,0,0,3,7,1410,120,60,no,2040,6000
419600,3,1.75,1680,8460,1,0,0,3,7,1180,500,39,no,1890,9529
235000,5,1,1500,9282,1.5,0,0,5,6,1500,0,49,no,1520,9639
480000,3,1,1160,8800,1,0,0,4,7,1160,0,56,no,1750,8400
937500,4,2.5,3130,21100,1,0,4,3,9,2530,600,59,no,3680,23000
835000,2,3.25,3570,392475,1,0,0,3,9,2370,1200,17,no,3190,217800
250000,3,1.5,2840,10182,1,0,0,3,8,1510,1330,64,no,2210,9669
479000,3,2.5,1260,889,3,0,0,3,8,1260,0,7,no,1340,1324
315000,2,1,970,5665,1,0,0,4,6,970,0,107,no,1490,4429
842500,5,4,2980,4500,1.5,0,0,3,7,2070,910,94,no,1560,4225
545000,4,2.25,2030,11585,1,0,0,4,7,1590,440,48,no,1960,8977
430000,2,2.25,1040,1516,2,0,0,3,8,1040,0,7,no,1560,1920
920000,4,2.5,3550,10233,2,0,0,3,9,3550,0,19,no,3310,9157
496752,2,1,1980,5000,1,0,0,4,7,1090,890,92,no,1720,5000
550000,3,2.5,2080,7749,2,0,0,3,8,2080,0,27,no,2210,7471
530000,3,1,1340,4284,1,0,0,3,7,1080,260,105,no,1960,4080
620000,5,2.5,3070,34991,2,0,0,3,9,3070,0,20,no,2150,19515
7.00E+05,4,3.5,4490,5099,2,0,0,3,9,3390,1100,9,no,4290,5537
850000,5,2.75,3430,15119,2,0,0,3,10,3430,0,17,no,3430,12045
6.00E+05,4,2.75,3110,11225,2,0,0,3,8,3110,0,3,no,2610,8535
539000,2,1.75,1900,5175,1,0,0,3,7,1200,700,96,no,1370,5175
219950,3,1.5,1070,6601,1,0,0,3,6,1070,0,30,no,1030,6614
646000,3,2.75,2460,6413,2,0,0,3,9,2460,0,11,no,2440,6092
462500,6,3,2390,4000,2,0,0,3,7,2390,0,1,no,1680,5000
335000,4,2,2030,103672,1,0,0,4,7,2030,0,46,no,1560,325393
446000,4,2.5,1530,8375,1,0,0,3,7,1020,510,41,no,1650,9794
342000,4,1,1390,9023,1.5,0,0,3,7,1390,0,60,no,1760,9023
570000,3,2.5,2420,11953,1,0,0,3,9,2420,0,25,no,2420,12215
352500,3,1.5,1470,17577,1,0,0,5,7,1470,0,48,no,2300,13832
849900,2,2,2280,641203,2,0,0,3,9,2280,0,25,no,2030,224334
510000,4,4,3530,10935,2,0,0,3,10,3530,0,23,no,3360,11250
408474,3,2.5,1800,2731,2,0,0,3,8,1800,0,1,no,1800,3265
535000,3,2.5,1690,9626,2,0,0,3,8,1690,0,31,no,1860,8958
247500,2,1,700,6046,1,0,0,3,6,700,0,65,no,990,6790
1030000,5,4,3760,28040,2,0,0,3,10,3760,0,32,no,3430,35096
630000,4,2.5,2540,8706,2,0,0,3,9,2540,0,18,no,2540,6239
479900,3,2,1980,12150,1,0,0,3,9,1980,0,21,no,2200,12150
405000,4,2.75,2360,7716,1,0,0,3,7,1390,970,37,no,2160,8794
136500,3,1.5,1420,8580,1,0,0,3,6,1420,0,53,no,1200,8580
1700000,4,4.5,3860,15246,2,0,4,3,11,2940,920,11,no,3750,14790
507950,4,2.5,2630,6283,2,0,0,3,9,2630,0,9,no,2630,7210
935000,4,3.5,3510,11200,2,0,0,3,11,3510,0,14,no,3600,12124
515000,2,1,1640,5200,1,0,0,4,7,1040,600,78,no,1780,5040
339950,4,2.25,2670,9040,1,0,0,3,8,2170,500,60,no,1880,2648
490000,4,2.5,3020,8302,2,0,0,4,10,3020,0,21,no,3020,8406
450000,3,1.75,1830,5488,1,0,2,4,7,1010,820,76,no,1200,5488
897500,4,3,4370,217882,2,0,0,3,10,4370,0,31,no,2430,35096
212000,3,1.5,1060,9225,1,0,0,4,7,1060,0,60,no,1270,9375
315000,4,2.75,2200,8580,1,0,0,3,8,1860,340,24,no,2290,7816
475000,5,2.5,2010,3600,1.5,0,0,3,6,1510,500,103,no,1780,3600
550000,3,2.5,2430,5400,2,0,0,3,8,2430,0,8,no,2640,11990
828000,4,2.5,3520,9901,2,0,0,3,10,3520,0,17,no,3490,9667
546500,3,2.5,1410,2675,1,0,0,3,7,820,590,30,no,1410,4013
197000,4,1,1360,11175,1,0,0,3,7,1360,0,54,no,1340,9702
475000,3,2.25,1380,1621,2,0,0,3,8,1140,240,8,no,1460,1403
445000,4,2,2630,9099,1.5,0,0,3,7,1830,800,71,yes,1430,6825
216500,3,1,1020,11652,1,0,0,4,6,1020,0,44,no,1690,11652
952500,4,1.5,2550,5055,2,0,0,4,10,2550,0,105,no,1970,4431
648360,4,1.75,2260,7005,1,0,1,4,7,1130,1130,68,no,2330,9180
1650000,4,3.25,4200,210394,2,0,0,4,10,4200,0,22,no,2370,184694
623000,4,2.75,2300,12633,2,0,0,3,9,2300,0,31,no,2240,9246
440250,3,1.5,1850,8124,1,0,0,4,7,1850,0,67,no,1530,8123
860000,4,2.5,3560,11119,1,0,2,3,10,2290,1270,29,no,3290,11385
615000,5,2.25,2480,12070,2,0,0,3,9,2480,0,37,no,2570,12000
490000,4,2.25,2800,10800,1,0,0,3,8,1680,1120,38,no,2260,9800
575000,4,1.75,2020,6200,1,0,0,4,6,1010,1010,67,no,1440,4158
515000,3,2.5,2130,219978,2,0,0,3,8,2130,0,29,no,3340,217800
580000,7,2.75,2310,2400,1.5,0,0,3,6,2310,0,100,no,1340,3825
317000,3,1.5,1060,5750,1,0,0,2,7,1060,0,34,no,1060,5750
389000,2,2,1200,7131,1,0,0,3,8,1200,0,9,no,1670,4601
603500,4,2.5,4060,9734,1,0,4,3,9,2150,1910,38,no,2750,10370
234950,2,2.5,1720,3132,2,0,0,3,8,1720,0,16,no,1740,4220
825000,3,2.25,2980,86636,1,0,0,3,9,2230,750,26,no,2980,107157
220000,2,1,890,4804,1,0,0,4,7,890,0,87,no,1010,3844
126000,1,1,610,4400,1,0,0,3,5,610,0,93,no,1090,4930
479000,2,2.5,1741,1439,2,0,0,3,8,1446,295,8,no,2090,10454
499950,3,2.5,1520,2208,2,0,0,3,8,1040,480,8,no,1610,1618
492650,4,1.75,2120,9786,1,0,0,3,8,1640,480,48,no,2310,8787
340000,2,1.75,1270,1916,2,0,0,3,8,1270,0,3,no,1140,1916
1030000,4,3.5,4370,10860,2,0,0,3,11,4370,0,7,no,3560,8070
467000,5,2.25,2500,13500,1,0,0,3,7,1850,650,36,no,2300,9750
543000,3,2.25,1240,949,3,0,0,3,8,1240,0,7,no,1310,1140
456000,3,2,1870,8442,1.5,0,0,5,7,1060,810,88,no,1640,6174
337000,4,2.5,2230,5970,2,0,0,4,7,2230,0,13,no,1970,4919
845000,4,2.5,2390,5071,2,0,0,3,9,1760,630,27,no,1940,5071
236000,3,1.75,1330,6301,1,0,0,3,7,1330,0,17,no,1330,6144
1280000,4,3,3260,4500,2,0,0,3,9,2300,960,85,yes,2410,4995
445000,5,3,2420,11250,2,0,0,3,8,2420,0,2,no,1510,9950
345000,3,2.5,1360,1489,2,0,0,3,8,1360,0,8,no,1360,1688
1190000,4,3,2240,6000,1.5,0,0,4,8,1270,970,101,no,2240,4250
175000,3,1,1150,8924,1,0,0,3,6,1150,0,72,no,1492,8924
219950,3,1,1200,7727,1,0,0,4,7,1200,0,56,no,1300,7718
1900000,4,3.25,5080,27755,2,0,0,3,11,5080,0,14,no,4730,22326
490000,2,1,990,5000,1,0,0,3,7,990,0,74,no,2250,6032
271115,2,1.5,830,1325,2,0,0,3,7,830,0,10,no,1310,1485
520000,2,2.25,1530,981,3,0,0,3,8,1480,50,9,no,1530,1282
490000,3,1.75,1540,9000,1,0,0,3,8,1540,0,44,no,1710,7488
1400000,3,2.75,3130,19530,1,1,4,3,8,1690,1440,68,no,2980,18782
185000,3,1,840,12091,1,0,0,3,6,840,0,56,no,840,9324
390000,3,2,1463,868,3,0,0,3,7,1463,0,12,no,1484,4320
850000,2,2,2640,13939,1,0,1,5,8,1640,1000,52,no,2880,14810
565000,4,2.5,2500,12090,1,0,0,3,9,2500,0,32,no,3380,12760
780000,4,3.25,3900,40962,2,0,0,3,10,3900,0,24,no,1730,11775
492000,3,2.25,2100,7335,2,0,0,3,8,2100,0,32,no,2050,8930
399950,2,1,710,1157,2,0,0,4,7,710,0,72,no,1370,1173
180000,3,1,1010,8863,1,0,0,4,6,1010,0,25,no,1090,8410
290000,3,1.75,1590,13500,1,0,0,4,7,1090,500,35,no,1540,10375
780000,4,2.75,3430,6500,2,0,0,3,9,3050,380,9,no,3070,6802
215000,3,1,810,5240,1,0,0,3,6,810,0,73,no,1700,5245
1290000,5,3.5,3210,4060,2,0,2,3,10,2290,920,98,yes,1940,5000
450000,2,1,1020,5000,1.5,0,0,4,6,1020,0,109,no,1490,5000
489000,4,2.5,3910,8442,2,0,0,3,9,2710,1200,15,no,2650,7576
169575,3,1,1300,8284,1,0,0,3,7,1300,0,47,no,1360,7848
462000,3,2.75,1890,2614,2,0,0,4,9,1890,0,36,no,1800,2769
329000,4,2,1190,7877,1.5,0,0,5,7,1190,0,69,no,1480,9975
417200,2,1,1000,4000,1,0,0,3,6,1000,0,105,no,1490,5000
2880000,4,2.5,5760,32033,2,0,4,4,12,4390,1370,21,no,3420,28475
